antlr/antlr4;0b35a76e9b0931465afe9021058cf4deb0328b4d
apache/commons-io;cd7787277b170d5f439df03850ca0c574566e539
apache/commons-lang;115a6c64bc6dad12edaf3c5deaac7bffa0fa3b86
apache/dubbo;da6c3ebf5c2aa529c0732d4f354d0d390a471bac
apache/flink;674817c1cdd6a15dc4638d2be26faebee000cecf
apache/groovy;57a4887028304dc088de1063fb59d32c75c4f7cc
apache/hadoop;3ca15292c5584ec220b3eeaf76da85d228bcbd8b
apache/kafka;d4ef46c69dbc525f55a6d9ae5c9ae6da795f98fb
bazelbuild/bazel;1af65cf2ca952671ab483921f240bbc6bf106725
bigbluebutton/bigbluebutton;18bb82f764d88af25407748135ec84938a9282fa
brettwooldridge/HikariCP;8a28f6ebb36a8d44e25333ee4ecb2c8fd3eea99f
clojure/clojure;30a36cbe0ef936e57ddba238b7fa6d58ee1cbdce
dbeaver/dbeaver;2aa7f923c325dce26a03a4be21e066d36ad9ff94
elastic/elasticsearch;853dd1b873d02d04231c32722d4784c9da1068dc
google/ExoPlayer;6bfdf8f8f65a2d7a03d90e5e2e3bcdf80af31a94
google/gson;ceae88bd6667f4263bbe02e6b3710b8a683906a2
google/guava;2b5c096ddf412241c320edccd207d089d5b79b21
jenkinsci/jenkins;2776f4dc77d12650e310dc10c005f95937ac3469
junit-team/junit4;50a285d3ce69b4556ac46d8633f6beb4527b4679
libgdx/libgdx;95b054d80839b546d128f56f68f111d305fadabb
mockito/mockito;b0e814b05bde07318279a3922cfd2f3fa62f6850
neo4j/neo4j;1a9468b0c3ee9c6070c68c33c6786ed01e11184c
netty/netty;b559711f3e1b712c3f1dfc77d5504cd1ca58aa38
oracle/graal;cf16c07626dada3e174a0c30e8197150eede007e
ReactiveX/RxJava;da498c5c9b91cceaa37ca8abdaa4f914b3ec6d9c
scribejava/scribejava;fdef16c0a278711491fb87d50bae0e66ca61a102
SeleniumHQ/selenium;3912f49c4bb00474ff29b4030b25c9d9eb63e24e
spring-projects/spring-framework;a34f1e375907350cc2dd211f0c8dc59f0e4e1890
zxing/zxing;64ff80128d4142793b6be79cb4929d666fe49c80
